Incident Datetime,Incident Category,Incident Description,Latitude,Longitude
2021-07-18 08:30:00,Robbery,"Robbery, W/ Gun",37.7870872505264,-122.42155971686208
2021-11-17 18:51:00,Robbery,"Robbery, W/ Force",37.72224034731027,-122.44379303740972
2022-04-01 01:50:00,Robbery,"Robbery, W/ Force",37.73606117177687,-122.42446626401404
2022-11-12 22:00:00,Vandalism,"Vehicle, Tampering",37.73847287088267,-122.49472055073832
2022-02-03 02:09:00,Vandalism,"Vehicle, Tampering",37.77157103671907,-122.44218788158264
2022-04-05 09:54:00,Robbery,"Robbery, W/ Force",37.7428968146528,-122.3970013283792
2022-07-15 21:29:00,Robbery,"Robbery, W/ Gun",37.78239164108496,-122.44730151526936
2022-08-30 20:15:00,Robbery,"Robbery, W/ Force",37.76560583760297,-122.41048669029504
2022-09-05 03:04:00,Vandalism,"Vehicle, Tampering",37.72917261883452,-122.4129854934649
2022-12-17 22:00:00,Vandalism,"Vehicle, Tampering",37.76505133632968,-122.41966897380142
2023-02-05 10:45:00,Robbery,"Robbery, W/ Other Weapon",37.789110174829865,-122.41701687926658
2023-02-03 06:20:00,Robbery,"Robbery, W/ Gun",37.71494004719552,-122.43780526460748
2023-08-27 05:00:00,Robbery,"Robbery, Street or Public Place, W/ Gun",37.78223057378371,-122.4102920278806
2023-08-27 13:15:00,Robbery,"Robbery, Street or Public Place, W/ Force",37.78564170879834,-122.41799627043912
2023-08-26 20:53:00,Robbery,"Robbery, W/ Gun",37.80217473292741,-122.410600542537
2023-08-26 21:30:00,Robbery,"Robbery, Street or Public Place, W/ Force",37.74237539724614,-122.42196876280964
2023-08-27 05:50:00,Robbery,"Robbery, Street or Public Place, W/ Gun",37.78733916252147,-122.42340359434829
2023-08-27 00:30:00,Robbery,"Robbery, Street or Public Place, W/ Knife",37.762034000850846,-122.41607798747276
2023-08-26 20:00:00,Robbery,"Robbery, Att., W/ Force",37.80727586975037,-122.41561643757444
2023-08-27 18:41:00,Vandalism,"Vehicle, Tampering",37.78661895979627,-122.4215701166973
2023-02-20 18:43:00,Robbery,"Robbery, Att., Comm. Establ., W/ Gun",37.747553211710034,-122.40957172824132
2023-03-23 07:25:00,Robbery,"Robbery, Att., W/ Force",37.72377502359837,-122.40310583018965
2023-03-22 11:28:00,Robbery,"Robbery, W/ Gun",37.76491737717617,-122.42188644715362
2023-01-23 20:01:00,Robbery,"Robbery, Att., Comm. Establ., W/ Gun",37.75428676962897,-122.411120125642
2023-03-23 04:00:00,Robbery,"Robbery, Street or Public Place, W/ Knife",37.76505133632968,-122.41966897380142
2023-01-18 22:33:00,Robbery,"Robbery, Comml. Establ., W/ Gun",37.74910650517882,-122.4170488462938
2023-02-05 16:22:00,Robbery,"Robbery, Att., Comm. Establ., W/ Gun",37.769526043647296,-122.45071018189664
2023-03-23 14:00:00,Robbery,"Robbery, Att., Comm. Establ., W/ Force",37.75543693568604,-122.41874757531652
2023-01-26 22:15:00,Robbery,"Robbery, W/ Gun",37.74618268213951,-122.41950511517184
2023-01-31 17:58:00,Robbery,"Robbery, Comml. Establ., W/ Gun",37.74960063964786,-122.40882528116092
2023-03-23 04:42:00,Robbery,"Robbery, Street or Public Place, W/ Gun",37.720827144605884,-122.43558471453628
2023-08-26 21:00:00,Robbery,"Shoplifting, Force against Agent",37.77601659060897,-122.44477989251511
2023-08-27 04:25:00,Robbery,"Robbery, W/ Force",37.78665887330192,-122.40977511008916
2023-03-14 22:30:00,Robbery,"Robbery, W/ Force",37.73314372948054,-122.4043448136048
2023-03-24 01:45:00,Robbery,"Robbery, Street or Public Place, W/ Knife",37.76043326044383,-122.41592874676807
2023-03-24 11:10:00,Robbery,"Robbery, Att., W/ Force",37.78564170879834,-122.41799627043912
2023-03-23 18:40:00,Robbery,"Robbery, W/ Force",37.78211660234325,-122.4500923034662
